ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
648121768,Space Geekz - Die Knusperflockenverschwörung,Video Games,Games,EUR,2016-09-18,420.0,2016-07-23 01:39:46,550.11,successful,37,DE,0.0,616.9,470.99
1949174657,"Travel, Romance & Monsters",Blues,Music,USD,2016-06-04,2300.0,2016-05-03 22:46:24,240.0,failed,10,US,240.0,240.0,2300.0
263693681,"Ben Wallace - ""Real Boy vol 1"" - Debut Album",Indie Rock,Music,USD,2012-12-01,3000.0,2012-10-16 00:23:43,3762.0,successful,128,US,3762.0,3762.0,3000.0
2110380344,"Jen Penberthy's Debut Uplifting, wholesome/empowering Album.",Pop,Music,GBP,2016-04-30,1500.0,2016-03-31 17:59:33,1656.0,successful,54,GB,2380.76,2399.9,2173.82
1967283770,Kickstarter Gold Wax Cylinder- RECORDED WITHOUT ELECTRICITY!,Music,Music,USD,2017-07-19,333.0,2017-06-20 16:25:40,4184.0,successful,40,US,287.0,4184.0,333.0
1556272914,"""Sharks Before Drowning"" New York City Premiere",Dance,Dance,USD,2012-04-02,2500.0,2012-03-08 01:52:23,2560.0,successful,56,US,2560.0,2560.0,2500.0
501064699,P R I M A L — Short Film,Narrative Film,Film & Video,USD,2017-04-07,6500.0,2017-03-08 19:57:13,469.0,failed,6,US,383.0,469.0,6500.0
1685036990,"The Resistance, Third Studio EP",Rock,Music,USD,2015-04-18,3500.0,2015-03-19 06:52:21,3520.0,successful,34,US,3520.0,3520.0,3500.0
1163004418,There Is A Crack In Everything - a Graphic Novel,Nonfiction,Publishing,USD,2012-10-13,8000.0,2012-09-13 18:01:57,1048.0,failed,24,US,1048.0,1048.0,8000.0
1797873314,MESSIAS,Design,Design,AUD,2015-11-28,225000.0,2015-10-28 19:26:46,0.0,failed,0,AU,0.0,0.0,164642.18
1991690341,A new kiln for new glazes,Pottery,Crafts,GBP,2015-03-25,1500.0,2015-02-27 11:54:36,2252.0,successful,79,GB,3501.03,3349.94,2231.31
321368652,Gowland/Gentry Project Commemorative Reissue,Art,Art,USD,2013-04-01,800.0,2013-03-12 02:46:46,453.0,failed,7,US,453.0,453.0,800.0
3264395,Marin Chamber Music Festival Launch,Classical Music,Music,USD,2012-07-31,15000.0,2012-06-18 22:02:33,1961.0,failed,24,US,1961.0,1961.0,15000.0
699258072,"""Reasons Why."" You wont want to put it down!",Fiction,Publishing,USD,2012-08-29,3000.0,2012-07-30 00:31:10,0.0,failed,0,US,0.0,0.0,3000.0
930250474,"PICSY kids ""Where Creativity meets Opportunity""",Mixed Media,Art,USD,2016-03-03,5000.0,2016-02-02 18:40:52,0.0,failed,0,US,0.0,0.0,5000.0
1651427949,Trolling System,Product Design,Design,USD,2016-12-10,30000.0,2016-10-26 18:02:10,33.0,failed,2,US,0.0,33.0,30000.0
251030790,Deathwave Vampire Film  Project. Five Years in the Making!,Film & Video,Film & Video,USD,2014-05-14,525000.0,2014-03-15 07:07:22,60.0,canceled,1,US,60.0,60.0,525000.0
2315051,Hitching for the Truth,Documentary,Film & Video,CAD,2016-04-02,25000.0,2016-03-13 12:47:31,0.0,failed,0,CA,0.0,0.0,19116.07
1528233885,"Completion of ""VIRUS MAN"" horror movie.",Film & Video,Film & Video,USD,2012-04-04,6000.0,2012-02-04 17:28:42,3.0,failed,2,US,3.0,3.0,6000.0
1936899171,Weathered Beard,Periodicals,Publishing,USD,2012-06-05,6000.0,2012-05-06 19:58:24,77.0,failed,4,US,77.0,77.0,6000.0
